element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property 1,property 2,property 3,property 4,property 5,property 6
0.6935506273438585,0.1990832908930969,,,0.0092596879485161,0.0092596879485161,0.000324089078198,0.0002777906384554,0.0002777906384554,0.0,0.0,0.0,-0.0579563783756759,0.6312238714021171,0.759084924046567,0.3988510420858148,-0.0035997736091539,1.3429499392913864
0.0093370681605975,,0.0093370681605975,0.3081232492997199,0.0,0.6591970121381886,0.0,0.0,0.0,0.0093370681605975,0.0046685340802987,0.0,-0.1082559783834249,-0.5680795655137502,-0.2470287017328765,,,-1.2073897128960305
0.9565727699530516,0.0097809076682316,,,0.0166275430359937,0.0009780907668231,0.0001956181533646,0.0068466353677621,0.0001956181533646,0.0,0.0,0.0,-0.1082559783834249,1.2129178316407252,,1.3419582333449944,0.025821243492568,-1.2073897128960305
0.3015880076509052,,0.0133446021084471,,0.0177928028112628,0.0066723010542235,,0.0012454961967883,0.0001334460210844,0.0,0.0,0.0053378408433788,-0.1082559783834249,-0.0796349429070842,0.5645890749085102,,0.022053337849755,1.7179998881424772
0.9468324684225988,,0.008616469205914,0.0372074806619015,0.0044061490257514,,,0.0022520317242729,0.0003427004797806,,0.0,0.0,-0.0553023443021434,1.1882042192802222,0.8317901323796727,,,0.592850041589205
0.9649122807017544,0.0029239766081871,0.016569200779727,0.0048732943469785,,0.0029239766081871,0.0002436647173489,,0.0001461988304093,0.0,0.0,,-0.1009096092659313,1.232726193187914,0.8362078327172706,1.3363733405876808,0.0033593598955296,
0.0045703839122486,0.00355474304286,0.0001015640869388,0.0,,0.0005078204346942,0.0,0.0,0.0,0.0020312817387771,0.0015234613040828,,-0.1082559783834249,,-0.4138767061186416,-0.9181594644590676,,-0.8698447589300488
0.993126805458711,0.0,0.0049805757545572,0.0,0.0,0.0,0.0003984460603645,0.0009961151509114,0.0004980575754557,0.0,0.0,0.0,-0.1082559783834249,1.3005528572541254,0.8429391604991852,1.411485349855853,0.0407591793058163,0.4428300620487687
0.0004842615012106,,0.0,0.0,0.0,0.8135593220338984,0.0,0.0,,0.1840193704600484,0.0019370460048426,0.0,-0.1082559783834249,,-0.938101119253824,-0.9310548383076794,,-1.2073897128960305
0.0004837929366231,0.0,0.0,0.0,0.0,0.6773101112723755,0.0,0.0,0.0,0.3193033381712627,,,-0.1082559783834249,,,-0.931054839581736,0.0227893039498741,1.9430298574531315
0.9848635729934276,0.0,0.0049790878311093,0.0,0.0,0.0,0.0003983270264887,0.0092611033658633,0.0004979087831109,0.0,0.0,0.0,-0.1082559783834249,1.2802978279231894,0.840987754578604,1.385842201198625,0.0310680818859419,-0.3822798254236308
0.0052324516652277,0.0,0.0031394709991366,,,0.8664939957617144,5.232451665227744e-05,0.0,2.616225832613872e-05,0.0104649033304554,0.0031394709991366,,-0.0684370833657934,-0.8560462989484721,,-0.9294952980012604,0.0276183583515652,-0.9148507527921796
,0.1756981690401331,0.0184945441094877,,0.0092472720547438,0.0,0.0004161272424634,,0.0001387090808211,,0.0,0.0,,0.6091468744794702,,0.363113185351885,,1.7930098779126953
0.9676618151110228,0.0,0.0064577020515622,0.0198698524663454,0.0034772241816104,0.0,,0.001788286721971,,0.0,0.0,0.0,-0.0834062348080309,,0.8368724055641888,,-0.0579490769520176,
0.9375309375309376,0.0148500148500148,0.0148500148500148,,0.0247500247500247,0.0024750024750024,0.0002970002970002,,0.0002970002970002,0.0,0.0,0.0,-0.1082559783834249,1.1689103330688615,0.8294843803902279,1.3017764644218974,0.0249689349445604,-1.2073897128960305
,,0.0144355692426138,0.1058608411125012,,0.8565104417284188,,,0.0,0.0048118564142046,0.0,9.6237128284092e-05,-0.1082559783834249,-0.8330922928824921,-0.1026870840346444,-0.927216895357202,0.0227773899614636,0.7428700211296413
,0.0,0.0,0.0,0.0,0.938875305623472,0.0,0.0,,0.0586797066014669,0.0019559902200489,0.0,-0.1082559783834249,-1.006426171498979,-0.9358285260483056,-0.9310548253608132,0.022799725968843,-0.8323397640449397
