element 1,element 2,element 3,element 4,element 5,element 6,element 7,element 8,element 9,element 10,element 11,element 12,property 1,property 2,property 3,property 4,property 5,property 6
0.6935506273438585,0.1990832908930969,0.05555812769109681,0.03240890781980647,0.009259687948516135,0.009259687948516135,0.00032408907819806473,0.00027779063845548405,0.00027779063845548405,0.0,0.0,0.0,-0.05795637837567597,0.6312238714021171,0.759084924046567,0.39885104208581484,-0.003599773609153955,1.3429499392913864
0.009337068160597572,0.0,0.009337068160597572,0.3081232492997199,0.0,0.6591970121381886,0.0,0.0,0.0,0.009337068160597572,0.004668534080298786,0.0,-0.10825597838342496,-0.5680795655137502,-0.24702870173287653,-0.9306881886169608,0.022768490232823176,-1.2073897128960305
0.9565727699530516,0.009780907668231613,0.008802816901408451,0.0,0.01662754303599374,0.0009780907668231612,0.00019561815336463224,0.006846635367762128,0.00019561815336463224,0.0,0.0,0.0,-0.10825597838342496,1.2129178316407252,0.8341804974084173,1.3419582333449944,0.025821243492568004,-1.2073897128960305
0.3015880076509052,0.2535474400604955,0.013344602108447134,0.400338063253414,0.017792802811262845,0.006672301054223567,0.0,0.0012454961967883992,0.00013344602108447134,0.0,0.0,0.005337840843378853,-0.10825597838342496,-0.07963494290708423,0.5645890749085102,-0.6257013711653264,0.02205333784975507,1.7179998881424772
0.9468324684225987,0.0,0.008616469205914032,0.0372074806619015,0.004406149025751494,0.0,0.0003427004797806717,0.0022520317242729856,0.0003427004797806717,0.0,0.0,0.0,-0.05530234430214348,1.1882042192802222,0.8317901323796727,1.2754882273145414,-0.08604785824719853,0.592850041589205
0.9649122807017543,0.0029239766081871343,0.016569200779727095,0.004873294346978557,0.004873294346978557,0.0029239766081871343,0.00024366471734892786,0.001949317738791423,0.0001461988304093567,0.0,0.0,0.0005847953216374268,-0.10090960926593139,1.232726193187914,0.8362078327172706,1.3363733405876808,0.0033593598955296783,0.592850041589205
0.004570383912248629,0.0035547430428600445,0.00010156408693885843,0.0,0.004570383912248629,0.0005078204346942921,0.0,0.0,0.0,0.0020312817387771686,0.0015234613040828763,0.9831403615681495,-0.10825597838342496,-1.1070415865232925,-0.41387670611864164,-0.9181594644590676,0.022794383264388103,-0.8698447589300488
0.993126805458711,0.0,0.004980575754557227,0.0,0.0,0.0,0.00039844606036457814,0.0009961151509114453,0.0004980575754557227,0.0,0.0,0.0,-0.10825597838342496,1.3005528572541254,0.8429391604991852,1.411485349855853,0.04075917930581632,0.44283006204876874
0.00048426150121065375,0.0,0.0,0.0,0.0,0.8135593220338984,0.0,0.0,0.0,0.18401937046004843,0.001937046004842615,0.0,-0.10825597838342496,-0.7731848241749743,-0.938101119253824,-0.9310548383076794,0.02279483562953807,-1.2073897128960305
0.00048379293662312534,0.0,0.0,0.0,0.0,0.6773101112723755,0.0,0.0,0.0,0.3193033381712627,0.002902757619738752,0.0,-0.10825597838342496,-0.6066965978052007,-0.9383271665624103,-0.931054839581736,0.022789303949874128,1.9430298574531315
0.9848635729934276,0.0,0.00497908783110934,0.0,0.0,0.0,0.00039832702648874725,0.009261103365863374,0.0004979087831109341,0.0,0.0,0.0,-0.10825597838342496,1.2802978279231894,0.840987754578604,1.3858422011986247,0.03106808188594192,-0.3822798254236308
0.0052324516652277435,0.0,0.0031394709991366464,0.10988148496978262,0.0005232451665227744,0.8664939957617144,5.232451665227744e-05,0.0,2.616225832613872e-05,0.010464903330455487,0.0031394709991366464,0.0010464903330455488,-0.06843708336579345,-0.8560462989484721,-0.3822813821040093,-0.9294952980012603,0.02761835835156529,-0.9148507527921796
0.684298132051045,0.17569816904013316,0.018494544109487702,0.1109672646569262,0.009247272054743851,0.0,0.00041612724246347326,0.000739781764379508,0.00013870908082115775,0.0,0.0,0.0,0.269306561676292,0.6091468744794702,0.7559481507793343,0.363113185351885,-0.18027901190749027,1.7930098779126953
